"","x"
"345","ENSMUSG00000074575"
"346","ENSMUSG00000007872"
"347","ENSMUSG00000082682"
"348","ENSMUSG00000027233"
"349","ENSMUSG00000014158"
"350","ENSMUSG00000001558"
"351","ENSMUSG00000081137"
"352","ENSMUSG00000021356"
"353","ENSMUSG00000018500"
"354","ENSMUSG00000038168"
"355","ENSMUSG00000103076"
"356","ENSMUSG00000050854"
"357","ENSMUSG00000024530"
"358","ENSMUSG00000023571"
"359","ENSMUSG00000087362"
"360","ENSMUSG00000001403"
"361","ENSMUSG00000021209"
"362","ENSMUSG00000020374"
"363","ENSMUSG00000028825"
"364","ENSMUSG00000011486"
"365","ENSMUSG00000047182"
"366","ENSMUSG00000087492"
"367","ENSMUSG00000081320"
"368","ENSMUSG00000023267"
"369","ENSMUSG00000092470"
"370","ENSMUSG00000104277"
"371","ENSMUSG00000072884"
"372","ENSMUSG00000059498"
"373","ENSMUSG00000096751"
"374","ENSMUSG00000030577"
"375","ENSMUSG00000095040"
"376","ENSMUSG00000056738"
"377","ENSMUSG00000102615"
"378","ENSMUSG00000085331"
"379","ENSMUSG00000100931"
"380","ENSMUSG00000021701"
"381","ENSMUSG00000087408"
"382","ENSMUSG00000045954"
"383","ENSMUSG00000031374"
"384","ENSMUSG00000041362"
"385","ENSMUSG00000026117"
"386","ENSMUSG00000025272"
"387","ENSMUSG00000059022"
"388","ENSMUSG00000024673"
"389","ENSMUSG00000025069"
"390","ENSMUSG00000031548"
"391","ENSMUSG00000084891"
"392","ENSMUSG00000048332"
"393","ENSMUSG00000061780"
"394","ENSMUSG00000089854"
"395","ENSMUSG00000034427"
"396","ENSMUSG00000086638"
"397","ENSMUSG00000104153"
"398","ENSMUSG00000048458"
"399","ENSMUSG00000026525"
"400","ENSMUSG00000001555"
"401","ENSMUSG00000088151"
"402","ENSMUSG00000048330"
"403","ENSMUSG00000093975"
"404","ENSMUSG00000086593"
"405","ENSMUSG00000097316"
"406","ENSMUSG00000055385"
"407","ENSMUSG00000048852"
"408","ENSMUSG00000005640"
"409","ENSMUSG00000079001"
"410","ENSMUSG00000088106"
"411","ENSMUSG00000096094"
"412","ENSMUSG00000035275"
"413","ENSMUSG00000029161"
"414","ENSMUSG00000054161"
"415","ENSMUSG00000104011"
"416","ENSMUSG00000044362"
"417","ENSMUSG00000074805"
"418","ENSMUSG00000021194"
"419","ENSMUSG00000102381"
"420","ENSMUSG00000104113"
"421","ENSMUSG00000056458"
"422","ENSMUSG00000031125"
"423","ENSMUSG00000103409"
"424","ENSMUSG00000010044"
"425","ENSMUSG00000030543"
"426","ENSMUSG00000102997"
"427","ENSMUSG00000101587"
"428","ENSMUSG00000042515"
"429","ENSMUSG00000098448"
"430","ENSMUSG00000027570"
"431","ENSMUSG00000050087"
"432","ENSMUSG00000050761"
"433","ENSMUSG00000103701"
"434","ENSMUSG00000058441"
"435","ENSMUSG00000043155"
"436","ENSMUSG00000065669"
"437","ENSMUSG00000103885"
"438","ENSMUSG00000027750"
"439","ENSMUSG00000090264"
"440","ENSMUSG00000070077"
"441","ENSMUSG00000038663"
"442","ENSMUSG00000044811"
"443","ENSMUSG00000036853"
"444","ENSMUSG00000014529"
"445","ENSMUSG00000000982"
"446","ENSMUSG00000021319"
"447","ENSMUSG00000101304"
"448","ENSMUSG00000035735"
"449","ENSMUSG00000025608"
"450","ENSMUSG00000085931"
"451","ENSMUSG00000086582"
"452","ENSMUSG00000028523"
"453","ENSMUSG00000098251"
"454","ENSMUSG00000043391"
"455","ENSMUSG00000047501"
"456","ENSMUSG00000026090"
"457","ENSMUSG00000051048"
"458","ENSMUSG00000024247"
"459","ENSMUSG00000031530"
"460","ENSMUSG00000038572"
"461","ENSMUSG00000092556"
"462","ENSMUSG00000049281"
"463","ENSMUSG00000024675"
"464","ENSMUSG00000024552"
"465","ENSMUSG00000061878"
"466","ENSMUSG00000085148"
"467","ENSMUSG00000099913"
"468","ENSMUSG00000086824"
"469","ENSMUSG00000097848"
"470","ENSMUSG00000084974"
"471","ENSMUSG00000002565"
"472","ENSMUSG00000084973"
"473","ENSMUSG00000013083"
"474","ENSMUSG00000034634"
"475","ENSMUSG00000067399"
"476","ENSMUSG00000078963"
"477","ENSMUSG00000039497"
"478","ENSMUSG00000053783"
"479","ENSMUSG00000022871"
"480","ENSMUSG00000097166"
"481","ENSMUSG00000006800"
"482","ENSMUSG00000038242"
"483","ENSMUSG00000042284"
"484","ENSMUSG00000005628"
"485","ENSMUSG00000000489"
"486","ENSMUSG00000000730"
"487","ENSMUSG00000038195"
"488","ENSMUSG00000085539"
"489","ENSMUSG00000054822"
"490","ENSMUSG00000087129"
"491","ENSMUSG00000104383"
"492","ENSMUSG00000097569"
"493","ENSMUSG00000051509"
"494","ENSMUSG00000085837"
"495","ENSMUSG00000074491"
"496","ENSMUSG00000017754"
"497","ENSMUSG00000029279"
"498","ENSMUSG00000086027"
"499","ENSMUSG00000103808"
"500","ENSMUSG00000021118"
"501","ENSMUSG00000069223"
"502","ENSMUSG00000027863"
"503","ENSMUSG00000024131"
"504","ENSMUSG00000092474"
"505","ENSMUSG00000104034"
"506","ENSMUSG00000001827"
"507","ENSMUSG00000103572"
"508","ENSMUSG00000060188"
"509","ENSMUSG00000098553"
"510","ENSMUSG00000103163"
"511","ENSMUSG00000074384"
"512","ENSMUSG00000100022"
"513","ENSMUSG00000034115"
"514","ENSMUSG00000049791"
"515","ENSMUSG00000062960"
"516","ENSMUSG00000041515"
"517","ENSMUSG00000103072"
"518","ENSMUSG00000045569"
"519","ENSMUSG00000017652"
"520","ENSMUSG00000103656"
"521","ENSMUSG00000028601"
"522","ENSMUSG00000021414"
"523","ENSMUSG00000035270"
"524","ENSMUSG00000065581"
"525","ENSMUSG00000087347"
"526","ENSMUSG00000102139"
"527","ENSMUSG00000097223"
"528","ENSMUSG00000030651"
"529","ENSMUSG00000026579"
"530","ENSMUSG00000078954"
"531","ENSMUSG00000056367"
"532","ENSMUSG00000039760"
"533","ENSMUSG00000027204"
"534","ENSMUSG00000104010"
"535","ENSMUSG00000070170"
"536","ENSMUSG00000064202"
"537","ENSMUSG00000019987"
"538","ENSMUSG00000100783"
"539","ENSMUSG00000031647"
"540","ENSMUSG00000045010"
"541","ENSMUSG00000036733"
"542","ENSMUSG00000044244"
"543","ENSMUSG00000088141"
"544","ENSMUSG00000062082"
"545","ENSMUSG00000099569"
"546","ENSMUSG00000074344"
"547","ENSMUSG00000102570"
"548","ENSMUSG00000032281"
"549","ENSMUSG00000103870"
"550","ENSMUSG00000049526"
"551","ENSMUSG00000052221"
"552","ENSMUSG00000085035"
"553","ENSMUSG00000032418"
"554","ENSMUSG00000024784"
"555","ENSMUSG00000099689"
"556","ENSMUSG00000077569"
"557","ENSMUSG00000102466"
"558","ENSMUSG00000103901"
"559","ENSMUSG00000086836"
"560","ENSMUSG00000031139"
"561","ENSMUSG00000044469"
"562","ENSMUSG00000036904"
"563","ENSMUSG00000079293"
"564","ENSMUSG00000020937"
"565","ENSMUSG00000102742"
"566","ENSMUSG00000002076"
"567","ENSMUSG00000024912"
"568","ENSMUSG00000070527"
"569","ENSMUSG00000006457"
"570","ENSMUSG00000038642"
"571","ENSMUSG00000060044"
"572","ENSMUSG00000069867"
"573","ENSMUSG00000030731"
"574","ENSMUSG00000035713"
"575","ENSMUSG00000021779"
"576","ENSMUSG00000024885"
"577","ENSMUSG00000100672"
"578","ENSMUSG00000103984"
"579","ENSMUSG00000036353"
"580","ENSMUSG00000085470"
"581","ENSMUSG00000103443"
"582","ENSMUSG00000035626"
"583","ENSMUSG00000078137"
"584","ENSMUSG00000096553"
"585","ENSMUSG00000041556"
"586","ENSMUSG00000085750"
"587","ENSMUSG00000047150"
"588","ENSMUSG00000058046"
"589","ENSMUSG00000086348"
"590","ENSMUSG00000046207"
"591","ENSMUSG00000024936"
"592","ENSMUSG00000009210"
"593","ENSMUSG00000097032"
"594","ENSMUSG00000017639"
"595","ENSMUSG00000087739"
"596","ENSMUSG00000092455"
"597","ENSMUSG00000027562"
"598","ENSMUSG00000092415"
"599","ENSMUSG00000024658"
"600","ENSMUSG00000030996"
"601","ENSMUSG00000020656"
"602","ENSMUSG00000101378"
"603","ENSMUSG00000029915"
"604","ENSMUSG00000102512"
"605","ENSMUSG00000031224"
"606","ENSMUSG00000097100"
"607","ENSMUSG00000049493"
"608","ENSMUSG00000092985"
"609","ENSMUSG00000032085"
"610","ENSMUSG00000027314"
"611","ENSMUSG00000018451"
"612","ENSMUSG00000029664"
"613","ENSMUSG00000073778"
"614","ENSMUSG00000073607"
"615","ENSMUSG00000075296"
"616","ENSMUSG00000089794"
"617","ENSMUSG00000040978"
"618","ENSMUSG00000049103"
"619","ENSMUSG00000091996"
"620","ENSMUSG00000038349"
"621","ENSMUSG00000017832"
"622","ENSMUSG00000098206"
"623","ENSMUSG00000002985"
"624","ENSMUSG00000051065"
"625","ENSMUSG00000088695"
"626","ENSMUSG00000037872"
"627","ENSMUSG00000037977"
"628","ENSMUSG00000027257"
"629","ENSMUSG00000102427"
"630","ENSMUSG00000104063"
"631","ENSMUSG00000028389"
"632","ENSMUSG00000076498"
"633","ENSMUSG00000103133"
"634","ENSMUSG00000077360"
"635","ENSMUSG00000029924"
"636","ENSMUSG00000040570"
"637","ENSMUSG00000001864"
"638","ENSMUSG00000050930"
"639","ENSMUSG00000100763"
"640","ENSMUSG00000033227"
"641","ENSMUSG00000076271"
"642","ENSMUSG00000089651"
"643","ENSMUSG00000052117"
"644","ENSMUSG00000061353"
"645","ENSMUSG00000095829"
"646","ENSMUSG00000099847"
"647","ENSMUSG00000074052"
"648","ENSMUSG00000026303"
"649","ENSMUSG00000103485"
"650","ENSMUSG00000058975"
"651","ENSMUSG00000102722"
"652","ENSMUSG00000062905"
"653","ENSMUSG00000071506"
"654","ENSMUSG00000084659"
"655","ENSMUSG00000085581"
"656","ENSMUSG00000004105"
"657","ENSMUSG00000028885"
"658","ENSMUSG00000049476"
"659","ENSMUSG00000036885"
"660","ENSMUSG00000047363"
"661","ENSMUSG00000021747"
"662","ENSMUSG00000025665"
"663","ENSMUSG00000024140"
"664","ENSMUSG00000024899"
"665","ENSMUSG00000020105"
"666","ENSMUSG00000042763"
"667","ENSMUSG00000026012"
"668","ENSMUSG00000002190"
"669","ENSMUSG00000102474"
"670","ENSMUSG00000080461"
"671","ENSMUSG00000085403"
"672","ENSMUSG00000072660"
"673","ENSMUSG00000090327"
"674","ENSMUSG00000097899"
"675","ENSMUSG00000073063"
"676","ENSMUSG00000028838"
"677","ENSMUSG00000059280"
"678","ENSMUSG00000086913"
"679","ENSMUSG00000052374"
"680","ENSMUSG00000060512"
"681","ENSMUSG00000026167"
"682","ENSMUSG00000098539"
"683","ENSMUSG00000000296"
"684","ENSMUSG00000027985"
"685","ENSMUSG00000010841"
"686","ENSMUSG00000058728"
"687","ENSMUSG00000015314"
"688","ENSMUSG00000031618"
"689","ENSMUSG00000100490"
"690","ENSMUSG00000089736"
"691","ENSMUSG00000090235"
"692","ENSMUSG00000048355"
"693","ENSMUSG00000026969"
"694","ENSMUSG00000047910"
"695","ENSMUSG00000044676"
"696","ENSMUSG00000027463"
"697","ENSMUSG00000033949"
"698","ENSMUSG00000097360"
"699","ENSMUSG00000076607"
"700","ENSMUSG00000027073"
"701","ENSMUSG00000032105"
"702","ENSMUSG00000035875"
"703","ENSMUSG00000055271"
"704","ENSMUSG00000063838"
"705","ENSMUSG00000018906"
"706","ENSMUSG00000068606"
"707","ENSMUSG00000018543"
"708","ENSMUSG00000028713"
"709","ENSMUSG00000097241"
"710","ENSMUSG00000098689"
"711","ENSMUSG00000076497"
"712","ENSMUSG00000031700"
"713","ENSMUSG00000067341"
"714","ENSMUSG00000054944"
"715","ENSMUSG00000031397"
"716","ENSMUSG00000034107"
"717","ENSMUSG00000024500"
